"Country","League","Season","Date","Time","","Home","Away","HG","AG","Res","PH","PD","PA"
"Argentina","Liga Profesional","2023","1/27/2023","22:15","","Rosario Central","Argentinos Jrs","1","0","1","3.3","2.93","2.57"
"Argentina","Liga Profesional","2023","1/28/2023","0:30","","Defensa y Justicia","Huracan","2","4","-1","3.35","2.93","2.54"
"Argentina","Liga Profesional","2023","1/28/2023","20:00","","San Lorenzo","Arsenal Sarandi","1","0","1","1.74","3.29","6.41"
"Argentina","Liga Profesional","2023","1/28/2023","22:15","","Estudiantes L.P.","Tigre","1","2","-1","2.71","3.15","2.89"
"Argentina","Liga Profesional","2023","1/28/2023","22:15","","Talleres Cordoba","Independiente","0","1","-1","2.24","3.03","3.89"
"Argentina","Liga Profesional","2023","1/29/2023","0:30","","Central Cordoba","River Plate","0","2","-1","5.55","3.72","1.72"
"Argentina","Liga Profesional","2023","1/29/2023","20:00","","Platense","Newells Old Boys","2","2","0","3.17","2.82","2.75"
"Argentina","Liga Profesional","2023","1/29/2023","22:15","","Colon Santa Fe","Lanus","1","2","-1","2.42","3.07","3.41"
"Argentina","Liga Profesional","2023","1/29/2023","22:15","","Instituto","Sarmiento Junin","0","0","0","2.08","3.08","4.36"
"Argentina","Liga Profesional","2023","1/29/2023","22:15","","Racing Club","Belgrano","0","0","0","1.57","3.95","6.71"
"Argentina","Liga Profesional","2023","1/30/2023","0:30","","Boca Juniors","Atl. Tucuman","1","0","1","1.77","3.43","5.56"
"Argentina","Liga Profesional","2023","1/30/2023","20:00","","Barracas Central","Godoy Cruz","0","1","-1","2.71","3.09","2.94"
"Argentina","Liga Profesional","2023","1/30/2023","23:00","","Banfield","Union de Santa Fe","0","0","0","2.56","2.98","3.26"
"Argentina","Liga Profesional","2023","1/30/2023","23:00","","Velez Sarsfield","Gimnasia L.P.","3","1","1","1.57","3.86","7.09"
"Argentina","Liga Profesional","2023","2/3/2023","23:00","","Newells Old Boys","Velez Sarsfield","1","0","1","2.89","2.93","2.89"
"Argentina","Liga Profesional","2023","2/3/2023","23:00","","Tigre","Rosario Central","2","2","0","1.65","3.82","5.99"
"Argentina","Liga Profesional","2023","2/4/2023","20:00","","Arsenal Sarandi","Estudiantes L.P.","1","1","0","3.92","3.11","2.19"
"Argentina","Liga Profesional","2023","2/4/2023","20:00","","Sarmiento Junin","Barracas Central","3","5","-1","1.88","3.3","4.96"
"Argentina","Liga Profesional","2023","2/4/2023","22:15","","Belgrano","River Plate","2","1","1","4.62","3.47","1.88"
"Argentina","Liga Profesional","2023","2/5/2023","0:30","","Argentinos Jrs","Racing Club","1","0","1","2.75","3.08","2.9"
"Argentina","Liga Profesional","2023","2/5/2023","0:30","","Lanus","San Lorenzo","2","1","1","2.93","2.73","3.08"
"Argentina","Liga Profesional","2023","2/5/2023","20:00","","Independiente","Platense","1","2","-1","2.08","3.08","4.36"
"Argentina","Liga Profesional","2023","2/5/2023","22:15","","Boca Juniors","Central Cordoba","0","0","0","1.53","4","7.41"
"Argentina","Liga Profesional","2023","2/6/2023","0:30","","Atl. Tucuman","Talleres Cordoba","0","2","-1","2.63","2.93","3.21"
"Argentina","Liga Profesional","2023","2/6/2023","0:30","","Godoy Cruz","Colon Santa Fe","1","0","1","2.04","3.36","4.05"
"Argentina","Liga Profesional","2023","2/6/2023","0:30","","Union de Santa Fe","Instituto","0","2","-1","2.47","2.98","3.42"
"Argentina","Liga Profesional","2023","2/6/2023","21:00","","Gimnasia L.P.","Defensa y Justicia","0","2","-1","2.89","3.09","2.76"
"Argentina","Liga Profesional","2023","2/7/2023","0:30","","Huracan","Banfield","3","2","1","1.93","3.23","4.79"
"Argentina","Liga Profesional","2023","2/11/2023","0:30","","Central Cordoba","Belgrano","0","1","-1","2.74","3.09","2.9"
"Argentina","Liga Profesional","2023","2/11/2023","0:30","","Colon Santa Fe","Sarmiento Junin","0","2","-1","2.06","3.33","4"
"Argentina","Liga Profesional","2023","2/11/2023","20:00","","Defensa y Justicia","Newells Old Boys","1","0","1","2.43","3.08","3.37"
"Argentina","Liga Profesional","2023","2/11/2023","20:00","","San Lorenzo","Godoy Cruz","1","0","1","2.23","3.01","3.95"
"Argentina","Liga Profesional","2023","2/11/2023","22:15","","Platense","Atl. Tucuman","1","1","0","2.71","2.97","3.06"
"Argentina","Liga Profesional","2023","2/12/2023","0:30","","Talleres Cordoba","Boca Juniors","2","1","1","2.62","2.92","3.22"
"Argentina","Liga Profesional","2023","2/12/2023","0:30","","Velez Sarsfield","Independiente","0","0","0","2.29","3.09","3.66"
"Argentina","Liga Profesional","2023","2/12/2023","20:00","","Banfield","Gimnasia L.P.","0","0","0","2","3.17","4.54"
"Argentina","Liga Profesional","2023","2/12/2023","20:00","","Rosario Central","Arsenal Sarandi","2","1","1","1.71","3.59","5.73"
"Argentina","Liga Profesional","2023","2/12/2023","22:15","","River Plate","Argentinos Jrs","2","1","1","1.85","3.47","4.81"
"Argentina","Liga Profesional","2023","2/13/2023","0:30","","Instituto","Huracan","0","0","0","2.77","2.96","3"
"Argentina","Liga Profesional","2023","2/13/2023","0:30","","Racing Club","Tigre","2","2","0","2.14","3.49","3.55"
"Argentina","Liga Profesional","2023","2/13/2023","20:00","","Barracas Central","Union de Santa Fe","1","1","0","2.91","3.14","2.7"
"Argentina","Liga Profesional","2023","2/13/2023","23:00","","Estudiantes L.P.","Lanus","0","2","-1","2.25","3.32","3.47"
"Argentina","Liga Profesional","2023","2/17/2023","21:00","","Gimnasia L.P.","Instituto","2","0","1","3.54","2.74","2.68"
"Argentina","Liga Profesional","2023","2/18/2023","0:30","","Arsenal Sarandi","Racing Club","0","3","-1","6.56","3.8","1.61"
"Argentina","Liga Profesional","2023","2/18/2023","0:30","","Huracan","Barracas Central","2","0","1","1.54","4.03","7.07"
"Argentina","Liga Profesional","2023","2/18/2023","20:00","","Lanus","Rosario Central","3","0","1","2.17","3.09","4.01"
"Argentina","Liga Profesional","2023","2/18/2023","21:00","","Tigre","River Plate","0","1","-1","3.13","3.39","2.39"
"Argentina","Liga Profesional","2023","2/18/2023","22:15","","Argentinos Jrs","Belgrano","3","0","1","1.84","3.36","5.15"
"Argentina","Liga Profesional","2023","2/18/2023","22:15","","Godoy Cruz","Estudiantes L.P.","0","1","-1","2.48","3.12","3.23"
"Argentina","Liga Profesional","2023","2/19/2023","0:00","","Newells Old Boys","Banfield","2","0","1","2.32","2.9","3.89"
"Argentina","Liga Profesional","2023","2/19/2023","20:00","","Union de Santa Fe","Colon Santa Fe","1","1","0","2.25","3.14","3.71"
"Argentina","Liga Profesional","2023","2/19/2023","22:15","","Boca Juniors","Platense","3","1","1","1.82","3.17","5.83"
"Argentina","Liga Profesional","2023","2/20/2023","0:30","","Independiente","Defensa y Justicia","0","2","-1","2.15","3.16","3.97"
"Argentina","Liga Profesional","2023","2/20/2023","0:30","","Talleres Cordoba","Central Cordoba","2","0","1","1.63","3.69","6.58"
"Argentina","Liga Profesional","2023","2/20/2023","22:15","","Sarmiento Junin","San Lorenzo","0","1","-1","4.17","2.98","2.18"
"Argentina","Liga Profesional","2023","2/21/2023","0:30","","Atl. Tucuman","Velez Sarsfield","1","1","0","2.54","2.86","3.45"
"Argentina","Liga Profesional","2023","2/25/2023","0:00","","Belgrano","Tigre","0","2","-1","2.91","3.14","2.7"
"Argentina","Liga Profesional","2023","2/25/2023","0:00","","Rosario Central","Godoy Cruz","1","0","1","2.48","3.01","3.36"
"Argentina","Liga Profesional","2023","2/25/2023","20:00","","San Lorenzo","Union de Santa Fe","1","0","1","2.25","3.01","3.9"
"Argentina","Liga Profesional","2023","2/25/2023","22:15","","Estudiantes L.P.","Sarmiento Junin","1","1","0","1.75","3.51","5.58"
"Argentina","Liga Profesional","2023","2/25/2023","22:15","","Platense","Talleres Cordoba","2","4","-1","3.72","3.13","2.24"
"Argentina","Liga Profesional","2023","2/26/2023","0:30","","Velez Sarsfield","Boca Juniors","1","2","-1","2.54","2.89","3.41"
"Argentina","Liga Profesional","2023","2/26/2023","20:00","","Colon Santa Fe","Huracan","1","1","0","2.43","3.09","3.38"
"Argentina","Liga Profesional","2023","2/26/2023","20:00","","Defensa y Justicia","Atl. Tucuman","3","0","1","2.09","3.25","4.01"
"Argentina","Liga Profesional","2023","2/26/2023","22:15","","River Plate","Arsenal Sarandi","1","2","-1","1.2","6.65","16.04"
"Argentina","Liga Profesional","2023","2/27/2023","0:30","","Banfield","Independiente","0","0","0","2.26","2.99","3.91"
"Argentina","Liga Profesional","2023","2/27/2023","0:30","","Instituto","Newells Old Boys","3","1","1","2.53","2.81","3.56"
"Argentina","Liga Profesional","2023","2/27/2023","20:00","","Barracas Central","Gimnasia L.P.","1","0","1","2.56","3.01","3.22"
"Argentina","Liga Profesional","2023","2/27/2023","22:15","","Racing Club","Lanus","2","1","1","1.86","3.55","4.62"
"Argentina","Liga Profesional","2023","2/28/2023","0:30","","Central Cordoba","Argentinos Jrs","1","0","1","4.84","3.35","1.88"
"Argentina","Liga Profesional","2023","3/3/2023","23:00","","Sarmiento Junin","Rosario Central","4","1","1","2.85","3.05","2.82"
"Argentina","Liga Profesional","2023","3/3/2023","23:00","","Union de Santa Fe","Estudiantes L.P.","2","0","1","2.51","3.08","3.23"
"Argentina","Liga Profesional","2023","3/4/2023","20:00","","Gimnasia L.P.","Colon Santa Fe","0","0","0","2.44","3.09","3.34"
"Argentina","Liga Profesional","2023","3/4/2023","20:00","","Platense","Central Cordoba","1","1","0","2.18","3.12","3.94"
"Argentina","Liga Profesional","2023","3/4/2023","22:15","","Lanus","River Plate","0","2","-1","4.18","3.33","2.02"
"Argentina","Liga Profesional","2023","3/5/2023","0:30","","Atl. Tucuman","Banfield","1","0","1","2.45","3.01","3.41"
"Argentina","Liga Profesional","2023","3/5/2023","0:30","","Newells Old Boys","Barracas Central","1","0","1","1.73","3.48","5.84"
"Argentina","Liga Profesional","2023","3/5/2023","20:00","","Independiente","Instituto","2","2","0","2.44","2.95","3.52"
"Argentina","Liga Profesional","2023","3/5/2023","22:15","","Huracan","San Lorenzo","1","1","0","2.45","2.76","3.81"
"Argentina","Liga Profesional","2023","3/6/2023","0:30","","Talleres Cordoba","Velez Sarsfield","1","2","-1","1.93","3.26","4.8"
"Argentina","Liga Profesional","2023","3/6/2023","0:30","","Tigre","Argentinos Jrs","0","1","-1","2.71","3.18","2.86"
"Argentina","Liga Profesional","2023","3/6/2023","20:00","","Arsenal Sarandi","Belgrano","0","1","-1","2.85","2.96","2.9"
"Argentina","Liga Profesional","2023","3/6/2023","20:00","","Godoy Cruz","Racing Club","2","0","1","3.09","3.17","2.54"
"Argentina","Liga Profesional","2023","3/7/2023","0:00","","Boca Juniors","Defensa y Justicia","0","0","0","1.8","3.44","5.27"
"Argentina","Liga Profesional","2023","3/10/2023","20:00","","Barracas Central","Independiente","1","1","0","3.24","3.29","2.38"
"Argentina","Liga Profesional","2023","3/11/2023","0:00","","Argentinos Jrs","Arsenal Sarandi","1","1","0","1.42","4.48","8.93"
"Argentina","Liga Profesional","2023","3/11/2023","0:00","","Instituto","Atl. Tucuman","1","1","0","2.29","3.03","3.74"
"Argentina","Liga Profesional","2023","3/11/2023","20:00","","San Lorenzo","Gimnasia L.P.","4","0","1","1.77","3.34","5.83"
"Argentina","Liga Profesional","2023","3/11/2023","22:15","","Defensa y Justicia","Talleres Cordoba","1","1","0","3.22","3.29","2.39"
"Argentina","Liga Profesional","2023","3/12/2023","0:30","","Belgrano","Lanus","0","0","0","3.11","2.96","2.67"
