"Round","Date/Time","Home Team","Result","Aways Team","Handicap","x1","x2","x3","y","",""
"1","08-20 00:30","Empoli[14]","0-1","Verona[18]","0/0.5","2.38","3.22","2.96","2.96","",""
"1","08-20 02:45","Genoa[IT2 2]","1-4","Fiorentina[8]","*0/0.5","3.09","3.3","2.27","2.27","",""
"1","08-21 00:30","Sassuolo[13]","0-2","Atalanta[5]","*0/0.5","3.22","3.56","2.12","2.12","",""
"1","08-21 02:45","Lecce[16]","2-1","Lazio[2]","*0/0.5","3.51","3.28","2.11","3.51","",""
"1","08-22 02:45","Bologna[9]","0-2","AC Milan[4]","*0/0.5","3.48","3.38","2.08","2.08","",""
"2","08-29 00:30","Salernitana[12]","1-1","Udinese[18]","*0/0.5","2.89","3.25","2.43","3.25","",""
"4","09-17 18:30","Cagliari[19]","0-0","Udinese[17]","*0/0.5","2.83","3.33","2.42","3.33","",""
"4","09-17 21:00","Monza[15]","1-1","Lecce[5]"," 0/0.5","2.1","3.32","3.47","3.32","",""
"4","09-17 23:59","Fiorentina[8]","3-2","Atalanta[6]","0/0.5","2.36","3.49","2.81","2.36","",""
"4","09-19 00:30","Salernitana[18]","0-3","AC  Torion[10]","*0/0.5","3.13","3.3","2.26","2.26","",""
"5","09-23 00:30","Salernitana[19]","1-1","Frosinone[6]","0/0.5","2.41","3.21","2.92","3.21","",""
"5","09-23 02:45","Lecce[4]","1-0","Genoa[13]1","0/0.5","2.24","3.19","3.28","2.24","",""
"5","09-24 21:00","Udinese[17]","0-2","Fiorentina[8]","*0/0.5","3","3.41","2.29","2.29","",""
"6","09-28 00:30","Empoli[20]","1-0","Salernitana[17]","0/0.5","2.18","3.23","3.41","2.18","",""
"7","10-01 21:00","Udinese[18]","2-2","Genoa[11]","0/0.5","2.12","3.23","3.55","3.23","",""
"7","10-03 00:30","Sassuolo[10]","0-1","Monza[16]","0/0.5","2.19","3.69","2.97","2.97","",""
"8","10-08 21:00","Frosinone[10]","2-1","Verona[14]","0/0.5","2.18","3.37","3.22","2.18","",""
"9","10-22 02:45","Sassuolo[12]","0-2","Lazio[13]","*0/0.5","2.71","3.59","2.4","2.4","",""
"9","10-22 21:00","Salernitana[19]","2-2","Cagliari[20]","0/0.5","2.42","3.19","2.93","3.19","",""
"9","10-23 02:45","AC Milan[2]","0-1","Juventus[5]","0/0.5","2.2","3.23","3.29","3.29","",""
"9","10-24 00:30","Udinese[17]","1-1","Lecce[11]","0/0.5","2.14","3.26","3.4","3.26","",""
"10","10-28 21:00","Sassuolo[14]","1-1","Bologna[8]","0/0.5","2.39","3.46","2.79","3.46","",""
"10","10-29 22:00","Monza[11]","1-1","Udinese[18]","0/0.5","2.12","3.44","3.29","3.44","",""
"10","10-30 03:45","Napoli[5]","2-2","AC Milan[3]","0/0.5","2.1","3.4","3.38","3.4","",""
"11","11-05 01:00","Atalanta[4]","1-2","Inter Milan[1]","*0/0.5","3.06","3.45","2.22","2.22","",""
"12","11-12 03:45","Monza[9]","1-1","AC  Torion[12]","0/0.5","2.26","3.15","3.24","3.15","",""
"12","11-12 22:00","Udinese[16]","1-1","Atalanta[5]","*0/0.5","3.32","3.4","2.12","3.4","",""
"12","11-12 22:00","Fiorentina[8]","2-1","Bologna[6]","0/0.5","2","3.53","3.5","2","",""
"13","11-26 22:00","Frosinone[12]","2-1","Genoa[14]","0/0.5","2.42","3.27","2.86","2.42","",""
"13","11-28 03:45","Bologna[8]","2-0","AC  Torion[12]","0/0.5","2.2","3.14","3.38","2.2","",""
"14","12-04 01:00","1Sassuolo[14]","1-2","Roma[5]","*0/0.5","3.21","3.48","2.13","2.13","",""
"14","12-05 03:45","AC  Torion[12]","3-0","Atalanta[9]","*0/0.5","2.98","3.22","2.39","2.98","",""
"15","12-09 03:45","Juventus[2]","1-0","Napoli[5]","0/0.5","2.44","3.29","2.82","2.44","",""
"15","12-09 22:00","1Verona[18]","1-1","Lazio[8]","*0/0.5","3.6","3.29","2.05","3.29","",""
"15","12-10 19:30","Frosinone[12]","0-0","AC  Torion[10]","*0/0.5","3.17","3.22","2.26","3.22","",""
"15","12-10 22:00","Monza[11]","1-0","Genoa[14]","0/0.5","2.1","3.26","3.47","2.1","",""
"15","12-11 01:00","Salernitana[20]","1-2","Bologna[8]","*0/0.5","3.32","3.28","2.17","2.17","",""
"15","12-12 01:30","Empoli[18]","1-1","Lecce[13]","0/0.5","2.45","3.21","2.87","3.21","",""
"16","12-17 22:00","Udinese[17]","2-2","Sassuolo[15]","0/0.5","2.15","3.51","3.12","3.51","",""
"17","12-23 01:30","Empoli[18]","0-2","Lazio[11]","*0/0.5","3.48","3.4","2.05","2.05","",""
"17","12-23 01:30","Sassuolo[15]","1-2","Genoa[14]","0/0.5","2.1","3.46","3.27","3.27","",""
"17","12-23 03:45","Monza[10]","0-1","Fiorentina[5]","*0/0.5","2.84","3.39","2.37","2.37","",""
"17","12-24 01:00","Verona[19]","2-0","Cagliari[16]1","0/0.5","2.37","3.27","2.96","2.37","",""
"18","12-30 22:00","Cagliari[18]","0-0","Empoli[19]","0/0.5","2.05","3.44","3.44","3.44","",""
"18","12-30 22:00","Udinese[17]","3-0","Bologna[5]","*0/0.5","3.08","3.15","2.36","3.08","",""
"19","01-07 01:00","Lecce[13]","1-1","Cagliari[18]","0/0.5","2.29","3.25","3.12","3.25","",""
"19","01-07 03:45","Sassuolo[16]","1-0","Fiorentina[4]","*0/0.5","2.88","3.47","2.32","2.88","",""
"19","01-07 22:00","AC  Torion[11]","3-0","Napoli[8]1","*0/0.5","2.91","3.3","2.38","2.91","",""
"19","01-07 22:00","Udinese[16]","1-2","Lazio[9]","*0/0.5","3.18","3.18","2.28","2.28","",""
"19","01-08 03:45","Roma[7]","1-1","Atalanta[6]","0/0.5","2.33","3.21","3.05","3.21","",""
"20","01-14 01:00","Verona[18]","2-1","Empoli[19]","0/0.5","2.2","3.24","3.27","2.2","",""
"20","01-15 03:45","AC Milan[3]","3-1","Roma[9]","0/0.5","2.11","3.27","3.48","2.11","",""
"21","01-22 01:00","Salernitana[20]","1-2","Genoa[12]","*0/0.5","3.51","3.18","2.14","2.14","",""
"21","02-15 02:00","Bologna[5]","2-0","Fiorentina[7]","0/0.5","2.29","3.2","3.12","2.29","",""
"21","02-23 03:45","AC  Torion[10]","0-2","Lazio[8]1","0/0.5","2.41","2.93","3.14","3.14","",""
"22","01-27 03:45","Cagliari[17]","1-2","AC  Torion[10]","*0/0.5","3.05","3.13","2.39","2.39","",""
"22","01-28 22:00","Monza[12]","1-0","Sassuolo[15]","0/0.5","2.2","3.47","3.07","2.2","",""
"22","01-28 22:00","Verona[18]","1-1","Frosinone[13]","0/0.5","2.24","3.32","3.14","3.32","",""
"23","02-03 03:45","Lecce[14]","3-2","Fiorentina[6]","*0/0.5","3.52","3.21","2.12","3.52","",""
"23","02-03 22:00","Udinese[17]","0-0","Monza[12]","0/0.5","2.26","3.39","3.04","3.39","",""
"24","02-10 03:45","Salernitana[20]","1-3","Empoli[19]","0/0.5","2.31","3.32","3","3","",""
"24","02-10 22:00","Cagliari[19]","1-3","Lazio[9]","*0/0.5","3.57","3.3","2.06","2.06","",""
"24","02-11 03:45","Sassuolo[16]","1-1","AC  Torion[10]","*0/0.5","3.01","3.31","2.31","3.31","",""
"24","02-12 01:00","Genoa[11]","1-4","Atalanta[4]","*0/0.5","3.51","3.36","2.07","2.07","",""
"25","02-18 22:00","Udinese[15]","1-1","Cagliari[19]","0/0.5","2.12","3.36","3.31","3.36","",""
